2144;58;58;58;04.09.2025;46085;4501479420;0;I&M;Silber (~RAL 9006);;hwf9006;;;;hwf9016;grau;hwf9006;;;;;hwf9006;hwf9006;hwf9006;;LKW;;;0;;;;;schwarz
1;13;0;1;1;1;5;1;;;521;916;1;0;Ja;0;2;2;25;;13;9;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;;0;2
2;13;0;1;1;1;5;1;;;916;916;0;1;Ja;0;2;2;23;;13;9;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;;0;2
3;13;0;1;1;1;5;1;;;916;1136;0;1;Ja;0;2;2;23;;13;9;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;;0;2
4;13;0;1;1;1;5;1;;;1458;1136;0;1;Ja;0;2;2;23;;13;9;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;;0;2
5;13;0;1;1;1;5;1;;;1458;1136;1;0;Ja;0;2;2;23;;13;9;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;;0;2
6;13;0;1;1;1;5;1;;;1458;1136;0;1;Ja;0;2;2;23;;13;9;0;0;0;0;0;0;0;0;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;;0;2
7;13;0;1;1;1;6;1;;;1458;1136;1;0;Ja;0;2;2;23;;13;9;0;0;0;0;0;0;0;0;10;1;0;0;0;1;0;0;0;1;0;0;0;0;2;0;;0;2
8;13;0;1;1;1;5;1;;;1146;1136;0;1;Ja;0;2;2;23;;13;9;0;0;0;0;0;0;0;0;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;;0;2
9;13;0;1;1;1;5;1;;;1146;1136;0;1;Ja;0;2;2;23;;13;9;0;0;0;0;0;0;0;0;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;;0;2
10;13;0;1;1;1;5;1;;;1146;1136;0;1;Ja;0;2;2;23;;13;9;0;0;0;0;0;0;0;0;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;;0;2
11;13;0;1;1;2;5;1;;;1936;1276;0;0;Ja;0;2;2;23;;13;9;0;0;0;0;0;0;0;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;;0;2
12;13;0;1;1;2;6;1;;;1936;1276;0;0;Ja;0;2;2;23;;13;9;0;0;0;0;0;0;0;0;17;1;0;0;0;1;0;0;0;1;1;0;0;0;0;2;0;;0;2
13;0;0;1;1;0;5;1;;;0;0;0;0;Ja;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1
